X,Age,AnnualIncome,CreditScore,Experience,LoanAmount,LoanDuration,NumberOfDependents,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
0,45,39948,617,22,13152,48,2,183,0.354417918807659,1,2,0.358335599698192,0,0,29,9,7632,1202,146111,19183,3329,0.724972046052403,11,126928,0.199652,0.22758963035547,419.805991560737,0.181077197825394,0,49
1,38,39709,628,15,26045,48,1,496,0.0878269682003487,5,3,0.330273669928854,0,0,21,9,4627,3460,53204,9595,3309.08333333333,0.935132099254932,3,43609,0.207045,0.201077121496936,794.054238219897,0.389852448025354,0,52
2,47,40724,570,26,17627,36,2,902,0.137414104237597,2,0,0.244729109132849,0,0,20,22,886,895,25176,128874,3393.66666666667,0.872240610578291,6,5205,0.217627,0.212548009845258,666.40668767747,0.462156965232532,0,52
3,58,69084,545,34,37898,96,1,755,0.267587136945328,2,1,0.436244265068269,0,0,27,10,1675,1217,104822,5370,5757,0.896154706963647,5,99452,0.300398,0.300910849149601,1047.5069802293,0.313098311660465,0,54
4,37,103264,594,14.1944607450456,9184,36,1,274,0.320535324738524,0,0,0.0788842122687955,0,0,26,27,1555,4981,244305,17286,8605.33333333333,0.941368739322914,5,227019,0.197184,0.175990178775328,330.179140484824,0.0702098474378087,1,36
5,37,178310,626,16,15433,72,0,732,0.102211336838256,5,1,0.25936640084039,0,1,16,19,2118,1223,67914,40843,14859.1666666667,0.756079359471433,5,27071,0.217433,0.217601155122834,385.577074153196,0.0752112887097658,1,44
6,58,51250,564,39,12741,48,0,337,0.367380342538335,6,1,0.127472703180466,0,0,21,18,5161,1735,65624,43894,4270.83333333333,0.884275126504052,5,21730,0.225741,0.205270967806103,391.30035166529,0.170528862828946,0,50
7,49,97345,516,23,19634,12,5,288,0.209767583167721,5,0,0.395567635124731,0,0,19,11,781,74,50177,11556,8112.08333333333,0.933492414430661,5,38621,0.226634,0.209112942098214,1827.36005497511,0.26076655873133,1,42.4
8,34,116841,603,12,55353,60,5,638,0.192701164784136,3,0,0.313233259501643,1,0,25,29,1157,708,29632,49940,9736.75,0.728396926653756,3,7711,0.258853,0.291539424809367,1762.19902602117,0.246509258841109,0,61
9,46,40615,612,19,25443,12,4,704,0.512464643968767,3,2,0.505148026760232,0,0,23,10,1028,446,129664,12852,3384.58333333333,0.615323210003634,3,116812,0.184443,0.197270602385901,2353.57742393819,0.903383702751651,0,53
10,34,73646,478,10,48716,84,3,267,0.21123598795769,4,1,0.0814447301385817,0,0,25,7,9266,3875,148966,20315,6137.16666666667,0.678446966565582,4,128651,0.334716,0.333538881764536,1504.45248925051,0.288643373312958,0,47
11,34,15000,591,11,30088,24,2,295,0.312183775177351,5,1,0.34668566119034,0,0,21,28,259,348,33062,3353,1250,0.842015470603515,3,29709,0.209588,0.182401197841574,1505.6095277284,1.44048762218272,0,56
12,42,74453,573,21,16154,60,1,258,0.527488434435663,6,0,0.371033592059185,0,0,26,7,781,1633,16204,35493,6204.41666666667,0.718948882995687,5,5231,0.234654,0.25568453056792,479.53989030978,0.118873365528822,0,56
13,18,100508,580,0,20439,60,1,247,0.168624846319048,5,2,0.581360980386502,0,1,20,3,2027,916,181813,99030,8375.66666666667,0.543748778804811,6,82783,0.235439,0.245374273754178,594.38153317064,0.100455470191902,0,63
14,19,47624,597,0,27197,36,1,196,0.114966564252275,2,1,0.751514819274665,0,0,15,21,2971,576,45336,9418,3968.66666666667,0.719940553510594,3,35918,0.213697,0.202228921780919,1013.82937482634,0.304845298545189,0,58
15,33,56650,605,11,12652,36,1,336,0.423430863065056,4,0,0.0441568040602275,0,0,21,15,242,131,261435,11144,4720.83333333333,0.837213590845282,2,250291,0.195152,0.216412752480412,480.84082795373,0.17302894855154,1,33.6
16,27,50042,582,7,19105,60,1,680,0.103919133839665,6,3,0.308869314312398,0,0,36,14,2214,1219,11162,89196,4170.16666666667,0.92086697343041,5,7021,0.233105,0.187129387140219,492.581443742737,0.281183352482172,0,53
17,43,142326,644,24,13499,96,2,772,0.222579230892687,1,2,0.29546987577122,0,0,18,2,13247,856,73836,4213,11860.5,0.971062500328894,5,69623,0.226499,0.223794765306807,303.195230930083,0.090653448921216,1,39.2
18,29,16021,553,8,14655,72,0,286,0.556030010202771,5,1,0.104568689882527,0,1,25,12,8651,1127,29278,25345,1335.08333333333,0.949187834055441,4,3933,0.253155,0.234766212860544,381.176875829789,0.499726765492632,0,59
19,23,34698,594,0,14314,60,3,755,0.187202840408498,5,0,0.100597961716339,0,0,27,29,3721,2098,128035,72605,2891.5,0.874070288426121,5,55430,0.222314,0.231478313815481,404.735088909059,0.401084243094954,0,48
20,57,106749,630,30,15698,48,0,1059,0.132542598477652,0,1,0.147279682022442,0,0,21,14,1686,4304,212568,8152,8895.75,0.854354808149688,4,204416,0.195698,0.204412691897652,481.394288551743,0.173160699047494,1,32.8
21,37,59138,594,14,13205,72,0,564,0.393772188377874,2,1,0.111663226534251,0,0,18,9,1187,5192,24257,18681,4928.16666666667,0.813101024795465,4,5576,0.231205,0.211443960619949,325.117421127331,0.180415452898779,0,51
22,40,114216,635,17,9809,60,3,571,0.224187420808419,3,1,0.630448392901255,0,0,26,2,720,2127,23984,27250,9518,0.851839052309665,10,2482,0.197309,0.201114033727948,260.486905251687,0.0873594142941465,1,46.4
23,22,63300,503,0,16476,24,2,376,0.389649375467072,3,1,0.235798588857208,0,0,29,7,2154,1735,14710,53225,5275,0.870722952568703,5,6903,0.239976,0.231670288042,864.269472834161,0.235122174944865,0,53
24,33,39676,555,12,47795,60,1,199,0.346519864032027,2,1,0.57339453753087,0,0,19,4,840,1085,157749,76577,3306.33333333333,0.583599494507467,4,81172,0.275295,0.253474141754257,1412.59789052373,0.487427530151345,0,60
25,41,59192,594,16,45608,36,4,222,0.409336365467557,4,0,0.230115845479385,0,0,18,1,21084,3449,67609,9196,4932.66666666667,0.844395235730433,3,58413,0.233608,0.200682644451542,1696.54348946886,0.388946510907324,0,58
26,26,15059,462,0,20240,24,3,443,0.0988217595655066,2,0,0.0670663376140666,0,0,16,25,713,7335,29861,13107,1254.91666666667,0.599027174577404,12,16754,0.26424,0.246020665102625,1076.20270609608,1.21060046969606,0,51
27,44,15305,608,23,21452,48,4,443,0.111314691918679,1,1,0.0631537920264881,0,0,21,29,9547,979,16936,7005,1275.41666666667,0.907674268284976,2,9931,0.212452,0.22537530218123,682.144064155742,0.882177639324985,0,51
28,32,35498,622,10,11136,36,0,698,0.390744710141614,2,0,0.176444352148732,0,0,18,17,1346,205,34189,31484,2958.16666666667,0.703667984211605,3,2705,0.185136,0.164845971258603,394.17818452509,0.369207792391151,0,48
29,36,60227,576,13.5720404927308,25264,84,3,458,0.278275342955582,3,1,0.144112682472538,0,0,27,28,5391,1993,141168,35773,5018.91666666667,0.814347985546514,5,105395,0.262264,0.239128970981678,622.019093278016,0.215189684349813,1,36.8
30,32,23861,592,10,19570,36,0,521,0.232777306172351,2,3,0.223711224522306,0,0,29,27,3348,1072,85166,8627,1988.41666666667,0.773488801049033,8,76539,0.20857,0.197034892145729,724.338061828906,0.626296330495238,0,55
31,62,73843,667,37,44668,60,1,388,0.295958320234709,7,2,0.156913701369702,1,0,16,3,17023,3352,56887,90622,6153.58333333333,0.94464865355605,5,3068,0.216168,0.234603327795042,1271.05375468511,0.269607749633971,0,62
32,39,61099,559,19,10094,84,0,380,0.128351413633521,1,0,0.265219566244273,0,0,21,19,2987,1795,69823,23540,5091.58333333333,0.880247878688171,4,46283,0.255594,0.26105004582748,262.67015117441,0.126222062784872,0,51
33,27,15000,535,4,11318,120,2,721,0.58275494219638,2,3,0.448384818730904,0,0,15,18,4172,3835,303949,13680,1250,0.865524659964029,1,290269,0.298818,0.343594010506414,335.398646703828,0.845118917363062,0,53
34,49,34738,520,25,10166,72,2,388,0.566340204879745,3,3,0.314513810526443,0,0,27,4,1767,2757,249298,10972,2894.83333333333,0.879833762792542,2,238326,0.265166,0.273933243435812,288.959832749093,0.233851056278114,0,55
35,25,85889,571,3,24186,72,2,870,0.331656765232429,4,0,0.0505386436633547,0,0,31,10,14921,1110,18899,5554,7157.41666666667,0.905685065965509,4,13345,0.253686,0.279617748167184,696.136454548309,0.218813089622416,0,49
36,42,78701,552,18,18326,60,1,482,0.188005301128613,6,1,0.0713019781228963,0,0,25,19,463,1585,170720,30154,6558.41666666667,0.706246374378828,7,140566,0.247326,0.218912350921585,505.011550315592,0.150495401631327,1,36
37,18,24914,604,0,8015,36,4,327,0.376158795200854,1,4,0.644265859972269,0,0,17,28,2612,199,49999,8146,2076.16666666667,0.926016457263729,7,41853,0.191015,0.152812,278.947581094388,0.291858833311899,1,45.6
38,24,57231,508,0,35876,48,4,370,0.572203517627025,3,0,0.134740613395815,0,0,20,21,7737,242,214229,73682,4769.25,0.50896687095036,8,140547,0.276876,0.230468198216474,1150.79907648765,0.318875939925073,0,50
39,42,163303,655,20.044145988018,12850,72,2,337,0.357969312647854,3,0,0.072959105598751,0,0,19,1,3012,309,115322,17900,13608.5833333333,0.915096794518595,8,97422,0.20035,0.189531294088255,300.046161340311,0.0468120851183611,1,37.6
40,48,38453,595,26,30517,48,0,560,0.382437704564686,0,0,0.103003264767073,0,0,22,20,5165,1539,46352,3481,3204.41666666667,0.793542960098904,6,42871,0.228017,0.226230532912701,971.823060228117,0.478034918543089,0,54
41,42,99920,582,20,23363,12,3,298,0.615080763381052,3,2,0.205830959548264,0,0,20,11,991,288,27778,23569,8326.66666666667,0.729776183791141,10,4209,0.197363,0.175435685501927,2136.84799279617,0.292415691688892,1,44.8
42,38,57860,591,20,25576,96,4,159,0.144070320692704,3,0,0.0743870323199498,0,0,27,1,2059,427,463089,25653,4821.66666666667,0.841298379347302,8,437436,0.265076,0.287654957738567,683.404351218965,0.174712274708392,0,47
43,36,30890,590,16,10176,24,2,289,0.213863749082104,3,1,0.124730217153779,0,0,23,6,11162,249,43010,28334,2574.16666666667,0.808568548732828,7,14676,0.190176,0.176526645053043,506.32152064059,0.308962714395826,0,53
44,22,15561,500,1,20169,36,2,346,0.104223770705816,6,0,0.374558377183341,0,0,25,13,1929,1463,16965,5913,1296.75,0.598246306645103,4,11052,0.255169,0.242390299816002,793.820907828075,0.878982770640505,0,55
45,31,105957,530,7,53987,72,0,399,0.0464504455465448,0,0,0.621059192253641,0,0,31,16,4218,208,165299,69541,8829.75,0.525186497150688,3,95758,0.303987,0.326750987777759,1718.37731315029,0.239800369563157,0,54
46,34,82887,545,13,20996,84,2,471,0.37401704300314,2,0,0.151595947864792,0,0,19,8,16502,1246,17748,117394,6907.25,0.904931027233422,2,4958,0.273496,0.279583208405156,571.787872261575,0.150970049189124,0,50
